awk: cmd. line:1: BEGIN S=",";  OFS="," {print $1, $2, $3, $4, $5, $6} $6 != "Failed"
awk: cmd. line:1:       ^ syntax error
[Fri Oct  3 08:29:16 CEST 2025] Data processing completed sucessfully.
[Fri Oct  3 09:26:42 CEST 2025] Data extraction completed successfully.
[Fri Oct  3 09:27:02 CEST 2025] Data processing completed sucessfully.
[Fri Oct  3 23:57:01 CEST 2025] Data extraction completed successfully.
[Sat Oct  4 00:00:01 CEST 2025] Data processing completed sucessfully.
[Sat Oct  4 13:23:59 CEST 2025] Data extraction completed successfully.
[Sat Oct  4 13:44:57 CEST 2025] Data extraction completed successfully.
[Sat Oct  4 23:57:01 CEST 2025] Data extraction completed successfully.
[Sun Oct  5 00:00:01 CEST 2025] Data processing completed sucessfully.
[Sun Oct  5 23:57:01 CEST 2025] Data extraction completed successfully.
[Mon Oct  6 00:00:01 CEST 2025] Data processing completed sucessfully.
[Mon Oct  6 17:36:28 CEST 2025] Data extraction completed successfully.
[Mon Oct  6 23:57:01 CEST 2025] Data extraction completed successfully.
[Tue Oct  7 00:00:01 CEST 2025] Data processing completed sucessfully.
[Tue Oct  7 10:04:28 CEST 2025] Data extraction completed successfully.
[Tue Oct  7 10:08:02 CEST 2025] Data extraction completed successfully.
[Tue Oct  7 10:12:01 CEST 2025] Data extraction completed successfully.
